uri	code	term
http://id.loc.gov/vocabulary/relators/cmm	cmm	commentator
http://id.loc.gov/vocabulary/relators/cmp	cmp	composer
http://id.loc.gov/vocabulary/relators/cmt	cmt	compositor
http://id.loc.gov/vocabulary/relators/cnd	cnd	conductor
http://id.loc.gov/vocabulary/relators/cng	cng	cinematographer
http://id.loc.gov/vocabulary/relators/cns	cns	censor
http://id.loc.gov/vocabulary/relators/coe	coe	contestant-appellee
http://id.loc.gov/vocabulary/relators/col	col	collector
http://id.loc.gov/vocabulary/relators/com	com	compiler
http://id.loc.gov/vocabulary/relators/con	con	conservator
http://id.loc.gov/vocabulary/relators/cop	cop	camera operator
http://id.loc.gov/vocabulary/relators/cor	cor	collection registrar
http://id.loc.gov/vocabulary/relators/cos	cos	contestant
http://id.loc.gov/vocabulary/relators/cot	cot	contestant-appellant
http://id.loc.gov/vocabulary/relators/cou	cou	court governed
http://id.loc.gov/vocabulary/relators/cov	cov	cover designer
http://id.loc.gov/vocabulary/relators/cpc	cpc	copyright claimant
http://id.loc.gov/vocabulary/relators/cpe	cpe	complainant-appellee
http://id.loc.gov/vocabulary/relators/cph	cph	copyright holder
http://id.loc.gov/vocabulary/relators/cpl	cpl	complainant
http://id.loc.gov/vocabulary/relators/cpt	cpt	complainant-appellant
http://id.loc.gov/vocabulary/relators/cre	cre	creator
http://id.loc.gov/vocabulary/relators/crp	crp	correspondent
http://id.loc.gov/vocabulary/relators/crr	crr	corrector
http://id.loc.gov/vocabulary/relators/crt	crt	court reporter
http://id.loc.gov/vocabulary/relators/csl	csl	consultant
http://id.loc.gov/vocabulary/relators/csp	csp	consultant to a project
http://id.loc.gov/vocabulary/relators/cst	cst	costume designer
http://id.loc.gov/vocabulary/relators/ctb	ctb	contributor
http://id.loc.gov/vocabulary/relators/cte	cte	contestee-appellee
http://id.loc.gov/vocabulary/relators/ctg	ctg	cartographer
http://id.loc.gov/vocabulary/relators/ctr	ctr	contractor
http://id.loc.gov/vocabulary/relators/cts	cts	contestee
http://id.loc.gov/vocabulary/relators/ctt	ctt	contestee-appellant
http://id.loc.gov/vocabulary/relators/cur	cur	curator
http://id.loc.gov/vocabulary/relators/cwt	cwt	commentator for written text
http://id.loc.gov/vocabulary/relators/dbd	dbd	dubbing director
http://id.loc.gov/vocabulary/relators/dbp	dbp	distribution place
http://id.loc.gov/vocabulary/relators/dfd	dfd	defendant
http://id.loc.gov/vocabulary/relators/dfe	dfe	defendant-appellee
http://id.loc.gov/vocabulary/relators/dft	dft	defendant-appellant
http://id.loc.gov/vocabulary/relators/dgc	dgc	degree committee member
http://id.loc.gov/vocabulary/relators/dgg	dgg	degree granting institution
http://id.loc.gov/vocabulary/relators/dgs	dgs	degree supervisor
http://id.loc.gov/vocabulary/relators/dis	dis	dissertant
http://id.loc.gov/vocabulary/relators/djo	djo	dj
http://id.loc.gov/vocabulary/relators/dln	dln	delineator
http://id.loc.gov/vocabulary/relators/dnc	dnc	dancer
http://id.loc.gov/vocabulary/relators/dnr	dnr	donor
http://id.loc.gov/vocabulary/relators/dpc	dpc	depicted
http://id.loc.gov/vocabulary/relators/dpt	dpt	depositor
http://id.loc.gov/vocabulary/relators/drm	drm	draftsman
http://id.loc.gov/vocabulary/relators/drt	drt	director
http://id.loc.gov/vocabulary/relators/dsr	dsr	designer
http://id.loc.gov/vocabulary/relators/dst	dst	distributor
http://id.loc.gov/vocabulary/relators/dtc	dtc	data contributor
http://id.loc.gov/vocabulary/relators/dte	dte	dedicatee
http://id.loc.gov/vocabulary/relators/dtm	dtm	data manager
http://id.loc.gov/vocabulary/relators/dto	dto	dedicator
http://id.loc.gov/vocabulary/relators/dub	dub	dubious author
http://id.loc.gov/vocabulary/relators/edc	edc	editor of compilation
http://id.loc.gov/vocabulary/relators/edd	edd	editorial director
http://id.loc.gov/vocabulary/relators/edm	edm	editor of moving image work
http://id.loc.gov/vocabulary/relators/edt	edt	editor
http://id.loc.gov/vocabulary/relators/egr	egr	engraver
http://id.loc.gov/vocabulary/relators/elg	elg	electrician
http://id.loc.gov/vocabulary/relators/elt	elt	electrotyper
http://id.loc.gov/vocabulary/relators/eng	eng	engineer
http://id.loc.gov/vocabulary/relators/enj	enj	enacting jurisdiction
http://id.loc.gov/vocabulary/relators/etr	etr	etcher
http://id.loc.gov/vocabulary/relators/evp	evp	event place
http://id.loc.gov/vocabulary/relators/exp	exp	expert
http://id.loc.gov/vocabulary/relators/fac	fac	facsimilist
http://id.loc.gov/vocabulary/relators/fds	fds	film distributor
http://id.loc.gov/vocabulary/relators/fld	fld	field director
http://id.loc.gov/vocabulary/relators/flm	flm	film editor
http://id.loc.gov/vocabulary/relators/fmd	fmd	film director
http://id.loc.gov/vocabulary/relators/fmk	fmk	filmmaker
http://id.loc.gov/vocabulary/relators/fmo	fmo	former owner
http://id.loc.gov/vocabulary/relators/fmp	fmp	film producer
http://id.loc.gov/vocabulary/relators/fnd	fnd	funder
http://id.loc.gov/vocabulary/relators/fon	fon	founder
http://id.loc.gov/vocabulary/relators/fpy	fpy	first party
http://id.loc.gov/vocabulary/relators/frg	frg	forger
http://id.loc.gov/vocabulary/relators/gdv	gdv	game developer
http://id.loc.gov/vocabulary/relators/gis	gis	geographic information specialist
http://id.loc.gov/vocabulary/relators/grt	grt	graphic technician
http://id.loc.gov/vocabulary/relators/gst	gst	guest
http://id.loc.gov/vocabulary/relators/his	his	host institution
http://id.loc.gov/vocabulary/relators/hnr	hnr	honoree
http://id.loc.gov/vocabulary/relators/hst	hst	host
http://id.loc.gov/vocabulary/relators/ill	ill	illustrator
http://id.loc.gov/vocabulary/relators/ilu	ilu	illuminator
http://id.loc.gov/vocabulary/relators/ink	ink	inker
http://id.loc.gov/vocabulary/relators/ins	ins	inscriber
http://id.loc.gov/vocabulary/relators/inv	inv	inventor
http://id.loc.gov/vocabulary/relators/isb	isb	issuing body
http://id.loc.gov/vocabulary/relators/itr	itr	instrumentalist
http://id.loc.gov/vocabulary/relators/ive	ive	interviewee
http://id.loc.gov/vocabulary/relators/ivr	ivr	interviewer
http://id.loc.gov/vocabulary/relators/jud	jud	judge
http://id.loc.gov/vocabulary/relators/jug	jug	jurisdiction governed
http://id.loc.gov/vocabulary/relators/lbr	lbr	laboratory
http://id.loc.gov/vocabulary/relators/lbt	lbt	librettist
http://id.loc.gov/vocabulary/relators/ldr	ldr	laboratory director
http://id.loc.gov/vocabulary/relators/led	led	lead
http://id.loc.gov/vocabulary/relators/lee	lee	libelee-appellee
http://id.loc.gov/vocabulary/relators/lel	lel	libelee
http://id.loc.gov/vocabulary/relators/len	len	lender
http://id.loc.gov/vocabulary/relators/let	let	libelee-appellant
http://id.loc.gov/vocabulary/relators/lgd	lgd	lighting designer
http://id.loc.gov/vocabulary/relators/lie	lie	libelant-appellee
http://id.loc.gov/vocabulary/relators/lil	lil	libelant
http://id.loc.gov/vocabulary/relators/lit	lit	libelant-appellant
http://id.loc.gov/vocabulary/relators/lsa	lsa	landscape architect
http://id.loc.gov/vocabulary/relators/lse	lse	licensee
http://id.loc.gov/vocabulary/relators/lso	lso	licensor
http://id.loc.gov/vocabulary/relators/ltg	ltg	lithographer
http://id.loc.gov/vocabulary/relators/ltr	ltr	letterer
http://id.loc.gov/vocabulary/relators/lyr	lyr	lyricist
http://id.loc.gov/vocabulary/relators/mcp	mcp	music copyist
http://id.loc.gov/vocabulary/relators/mdc	mdc	metadata contact
http://id.loc.gov/vocabulary/relators/med	med	medium
http://id.loc.gov/vocabulary/relators/mfp	mfp	manufacture place
http://id.loc.gov/vocabulary/relators/mfr	mfr	manufacturer
http://id.loc.gov/vocabulary/relators/mka	mka	makeup artist
http://id.loc.gov/vocabulary/relators/mod	mod	moderator
http://id.loc.gov/vocabulary/relators/mon	mon	monitor
http://id.loc.gov/vocabulary/relators/mrb	mrb	marbler
http://id.loc.gov/vocabulary/relators/mrk	mrk	markup editor
http://id.loc.gov/vocabulary/relators/msd	msd	musical director
http://id.loc.gov/vocabulary/relators/mte	mte	metal engraver
http://id.loc.gov/vocabulary/relators/mtk	mtk	minute taker
http://id.loc.gov/vocabulary/relators/mup	mup	music programmer
http://id.loc.gov/vocabulary/relators/mus	mus	musician
http://id.loc.gov/vocabulary/relators/mxe	mxe	mixing engineer
http://id.loc.gov/vocabulary/relators/nan	nan	news anchor
http://id.loc.gov/vocabulary/relators/nrt	nrt	narrator
http://id.loc.gov/vocabulary/relators/onp	onp	onscreen participant
http://id.loc.gov/vocabulary/relators/opn	opn	opponent
http://id.loc.gov/vocabulary/relators/org	org	originator
http://id.loc.gov/vocabulary/relators/orm	orm	organizer
http://id.loc.gov/vocabulary/relators/osp	osp	onscreen presenter
http://id.loc.gov/vocabulary/relators/oth	oth	other
http://id.loc.gov/vocabulary/relators/own	own	owner
http://id.loc.gov/vocabulary/relators/pad	pad	place of address
http://id.loc.gov/vocabulary/relators/pan	pan	panelist
http://id.loc.gov/vocabulary/relators/pat	pat	patron
http://id.loc.gov/vocabulary/relators/pbd	pbd	publisher director
http://id.loc.gov/vocabulary/relators/pbl	pbl	publisher
http://id.loc.gov/vocabulary/relators/pdr	pdr	project director
http://id.loc.gov/vocabulary/relators/pfr	pfr	proofreader
http://id.loc.gov/vocabulary/relators/pht	pht	photographer
http://id.loc.gov/vocabulary/relators/plt	plt	platemaker
http://id.loc.gov/vocabulary/relators/pma	pma	permitting agency
http://id.loc.gov/vocabulary/relators/pmn	pmn	production manager
http://id.loc.gov/vocabulary/relators/pnc	pnc	penciller
http://id.loc.gov/vocabulary/relators/pop	pop	printer of plates
http://id.loc.gov/vocabulary/relators/ppm	ppm	papermaker
http://id.loc.gov/vocabulary/relators/ppt	ppt	puppeteer
http://id.loc.gov/vocabulary/relators/pra	pra	praeses
http://id.loc.gov/vocabulary/relators/prc	prc	process contact
http://id.loc.gov/vocabulary/relators/prd	prd	production personnel
http://id.loc.gov/vocabulary/relators/pre	pre	presenter
http://id.loc.gov/vocabulary/relators/prf	prf	performer
http://id.loc.gov/vocabulary/relators/prg	prg	programmer
http://id.loc.gov/vocabulary/relators/prm	prm	printmaker
http://id.loc.gov/vocabulary/relators/prn	prn	production company
http://id.loc.gov/vocabulary/relators/pro	pro	producer
http://id.loc.gov/vocabulary/relators/prp	prp	production place
http://id.loc.gov/vocabulary/relators/prs	prs	production designer
http://id.loc.gov/vocabulary/relators/prt	prt	printer
http://id.loc.gov/vocabulary/relators/prv	prv	provider
http://id.loc.gov/vocabulary/relators/pta	pta	patent applicant
http://id.loc.gov/vocabulary/relators/pte	pte	plaintiff-appellee
http://id.loc.gov/vocabulary/relators/ptf	ptf	plaintiff
http://id.loc.gov/vocabulary/relators/pth	pth	patent holder
http://id.loc.gov/vocabulary/relators/ptt	ptt	plaintiff-appellant
http://id.loc.gov/vocabulary/relators/pup	pup	publication place
http://id.loc.gov/vocabulary/relators/rap	rap	rapporteur
http://id.loc.gov/vocabulary/relators/rbr	rbr	rubricator
http://id.loc.gov/vocabulary/relators/rcd	rcd	recordist
http://id.loc.gov/vocabulary/relators/rce	rce	recording engineer
http://id.loc.gov/vocabulary/relators/rcp	rcp	addressee
http://id.loc.gov/vocabulary/relators/rdd	rdd	radio director
http://id.loc.gov/vocabulary/relators/red	red	redaktor
http://id.loc.gov/vocabulary/relators/ren	ren	renderer
http://id.loc.gov/vocabulary/relators/res	res	researcher
http://id.loc.gov/vocabulary/relators/rev	rev	reviewer
http://id.loc.gov/vocabulary/relators/rpc	rpc	radio producer
http://id.loc.gov/vocabulary/relators/rps	rps	repository
http://id.loc.gov/vocabulary/relators/rpt	rpt	reporter
http://id.loc.gov/vocabulary/relators/rpy	rpy	responsible party
http://id.loc.gov/vocabulary/relators/rse	rse	respondent-appellee
http://id.loc.gov/vocabulary/relators/rsg	rsg	restager
http://id.loc.gov/vocabulary/relators/rsp	rsp	respondent
http://id.loc.gov/vocabulary/relators/rsr	rsr	restorationist
http://id.loc.gov/vocabulary/relators/rst	rst	respondent-appellant
http://id.loc.gov/vocabulary/relators/rth	rth	research team head
http://id.loc.gov/vocabulary/relators/rtm	rtm	research team member
http://id.loc.gov/vocabulary/relators/rxa	rxa	remix artist
http://id.loc.gov/vocabulary/relators/sad	sad	scientific advisor
http://id.loc.gov/vocabulary/relators/sce	sce	scenarist
http://id.loc.gov/vocabulary/relators/scl	scl	sculptor
http://id.loc.gov/vocabulary/relators/scr	scr	scribe
http://id.loc.gov/vocabulary/relators/sde	sde	sound engineer
http://id.loc.gov/vocabulary/relators/sds	sds	sound designer
http://id.loc.gov/vocabulary/relators/sec	sec	secretary
http://id.loc.gov/vocabulary/relators/sfx	sfx	special effects provider
http://id.loc.gov/vocabulary/relators/sgd	sgd	stage director
http://id.loc.gov/vocabulary/relators/sgn	sgn	signer
http://id.loc.gov/vocabulary/relators/sht	sht	supporting host
http://id.loc.gov/vocabulary/relators/sll	sll	seller
http://id.loc.gov/vocabulary/relators/sng	sng	singer
http://id.loc.gov/vocabulary/relators/spk	spk	speaker
http://id.loc.gov/vocabulary/relators/spn	spn	sponsor
http://id.loc.gov/vocabulary/relators/spy	spy	second party
http://id.loc.gov/vocabulary/relators/srv	srv	surveyor
http://id.loc.gov/vocabulary/relators/std	std	set designer
http://id.loc.gov/vocabulary/relators/stg	stg	setting
http://id.loc.gov/vocabulary/relators/stl	stl	storyteller
http://id.loc.gov/vocabulary/relators/stm	stm	stage manager
http://id.loc.gov/vocabulary/relators/stn	stn	standards body
http://id.loc.gov/vocabulary/relators/str	str	stereotyper
http://id.loc.gov/vocabulary/relators/swd	swd	software developer
http://id.loc.gov/vocabulary/relators/tad	tad	technical advisor
http://id.loc.gov/vocabulary/relators/tau	tau	television writer
http://id.loc.gov/vocabulary/relators/tcd	tcd	technical director
http://id.loc.gov/vocabulary/relators/tch	tch	teacher
http://id.loc.gov/vocabulary/relators/ths	ths	thesis advisor
http://id.loc.gov/vocabulary/relators/tld	tld	television director
http://id.loc.gov/vocabulary/relators/tlg	tlg	television guest
http://id.loc.gov/vocabulary/relators/tlh	tlh	television host
http://id.loc.gov/vocabulary/relators/tlp	tlp	television producer
http://id.loc.gov/vocabulary/relators/trc	trc	transcriber
http://id.loc.gov/vocabulary/relators/trl	trl	translator
http://id.loc.gov/vocabulary/relators/tyd	tyd	type designer
http://id.loc.gov/vocabulary/relators/tyg	tyg	typographer
http://id.loc.gov/vocabulary/relators/uvp	uvp	university place
http://id.loc.gov/vocabulary/relators/vac	vac	voice actor
http://id.loc.gov/vocabulary/relators/vdg	vdg	videographer
http://id.loc.gov/vocabulary/relators/vfx	vfx	visual effects provider
http://id.loc.gov/vocabulary/relators/voc	voc	vocalist
http://id.loc.gov/vocabulary/relators/wac	wac	writer of added commentary
http://id.loc.gov/vocabulary/relators/wal	wal	writer of added lyrics
http://id.loc.gov/vocabulary/relators/wam	wam	writer of accompanying material
http://id.loc.gov/vocabulary/relators/wat	wat	writer of added text
http://id.loc.gov/vocabulary/relators/waw	waw	writer of afterword
http://id.loc.gov/vocabulary/relators/wdc	wdc	woodcutter
http://id.loc.gov/vocabulary/relators/wde	wde	wood engraver
http://id.loc.gov/vocabulary/relators/wfs	wfs	writer of film story
http://id.loc.gov/vocabulary/relators/wft	wft	writer of intertitles
http://id.loc.gov/vocabulary/relators/wfw	wfw	writer of foreword
http://id.loc.gov/vocabulary/relators/win	win	writer of introduction
http://id.loc.gov/vocabulary/relators/wit	wit	witness
http://id.loc.gov/vocabulary/relators/wpr	wpr	writer of preface
http://id.loc.gov/vocabulary/relators/wst	wst	writer of supplementary textual content
http://id.loc.gov/vocabulary/relators/wts	wts	writer of television story
